epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,6.35579,4.90961,0.0027,0.01258,5.19685,2.77113e-05,2.77113e-05,2.77113e-05
2,11.7802,4.47816,0,0.0027,5.90804,5.35052e-05,5.35052e-05,5.35052e-05
3,16.781,3.8271,0,0.0009,6.48009,7.70814e-05,7.70814e-05,7.70814e-05
4,21.7338,3.03461,0,0.0009,6.81301,7.40208e-05,7.40208e-05,7.40208e-05
5,26.6831,2.30909,0.0009,0.00449,6.99493,7.06944e-05,7.06944e-05,7.06944e-05
6,31.8333,1.71066,0.0009,0.01258,7.12432,6.7368e-05,6.7368e-05,6.7368e-05
7,36.9146,1.34164,0.0009,0.04762,7.10104,6.40416e-05,6.40416e-05,6.40416e-05
8,41.8265,1.04038,0.00809,0.07188,6.98011,6.07152e-05,6.07152e-05,6.07152e-05
9,46.7906,0.85052,0.00988,0.09614,6.82989,5.73888e-05,5.73888e-05,5.73888e-05
10,51.7379,0.73858,0.01438,0.10243,6.63588,5.40624e-05,5.40624e-05,5.40624e-05
11,56.673,0.63824,0.04223,0.10692,6.40425,5.0736e-05,5.0736e-05,5.0736e-05
12,61.5882,0.56489,0.06289,0.12399,6.24202,4.74096e-05,4.74096e-05,4.74096e-05
13,66.4957,0.50981,0.05391,0.13477,5.9979,4.40832e-05,4.40832e-05,4.40832e-05
14,71.4099,0.4729,0.06559,0.15544,5.95995,4.07568e-05,4.07568e-05,4.07568e-05
15,76.3182,0.44414,0.06559,0.16083,5.78673,3.74304e-05,3.74304e-05,3.74304e-05
16,81.2245,0.41559,0.0602,0.16801,5.79514,3.4104e-05,3.4104e-05,3.4104e-05
17,86.1147,0.3901,0.07098,0.1761,5.64006,3.07776e-05,3.07776e-05,3.07776e-05
18,90.945,0.37367,0.08535,0.18868,5.55773,2.74512e-05,2.74512e-05,2.74512e-05
19,95.7925,0.35312,0.07907,0.18329,5.59709,2.41248e-05,2.41248e-05,2.41248e-05
20,100.621,0.33704,0.08176,0.18688,5.48929,2.07984e-05,2.07984e-05,2.07984e-05
21,105.484,0.30569,0.08895,0.20126,5.43227,1.7472e-05,1.7472e-05,1.7472e-05
22,110.333,0.30828,0.08446,0.20755,5.3781,1.41456e-05,1.41456e-05,1.41456e-05
23,115.199,0.32099,0.08446,0.20395,5.40377,1.08192e-05,1.08192e-05,1.08192e-05
24,120.045,0.30459,0.09075,0.20934,5.33369,7.4928e-06,7.4928e-06,7.4928e-06
25,124.902,0.29591,0.08985,0.21024,5.33166,4.1664e-06,4.1664e-06,4.1664e-06
