epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,645.629,2.09203,5.02602,1.49041,0.54235,0.08846,0.08176,0.04338,2.04775,4.18248,1.48412,0.00998062,0.00332687,0.00998062,0.00332687,0.00998062,0.00332687,0.00998062,0.00332687
2,1373.93,1.99771,3.4228,1.44499,0.5048,0.13631,0.13409,0.06657,2.06072,3.6229,1.54872,0.0197828,0.00659427,0.0197828,0.00659427,0.0197828,0.00659427,0.0197828,0.00659427
3,2192.32,1.97986,2.9391,1.47281,0.49928,0.14685,0.16399,0.08063,1.99843,3.30419,1.59412,0.029387,0.00979567,0.029387,0.00979567,0.029387,0.00979567,0.029387,0.00979567
4,3091.12,1.96,2.64571,1.48699,0.51811,0.23814,0.27414,0.13466,1.9194,2.8377,1.54705,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,4157.05,1.89707,2.2444,1.46628,0.59732,0.32977,0.39103,0.19668,1.86512,2.23802,1.52559,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,5085.58,1.85868,1.92899,1.44308,0.63081,0.35746,0.39631,0.20258,1.8438,1.94047,1.52013,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,6148.89,1.81971,1.74487,1.42013,0.66953,0.45052,0.52159,0.26683,1.82497,1.76757,1.51591,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,7108.97,1.78527,1.58974,1.40908,0.71259,0.45113,0.55056,0.29112,1.79044,1.49061,1.48867,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,8012.83,1.75777,1.45848,1.38493,0.7696,0.55988,0.67317,0.35586,1.78559,1.36858,1.48129,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,14348.6,1.73017,1.38753,1.38044,0.73641,0.53882,0.61641,0.32247,1.77673,1.34283,1.47124,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2829.02,1.70567,1.33811,1.36902,0.71555,0.66572,0.74035,0.39221,1.74886,1.24125,1.4682,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5550.44,1.69335,1.27621,1.35494,0.77864,0.6548,0.75446,0.40302,1.74488,1.22254,1.4568,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
